year,"Electricity, hydro, at power plant","Electricity, diesel, at power plant","Electricity, natural gas, at power plant","Electricity, solar, at power plant","Electricity, nuclear, at power plant","Electricity, biomass, at power plant","Electricity, bituminous coal, at power plant","Electricity, lignite coal, at power plant","Electricity, anthracite coal, at power plant","Electricity, wind, at power plant","Electricity, geothermal, at power plant",electricity
2020,0.070747314,0.004797781,0.402386757,0.045313653,0.19532252,0.004099595,0.059997221,0.059997221,0.059997221,0.092671339,0.004669378,1
2022,0.067798981,0.002330453,0.383861094,0.047720326,0.185709761,0.003951778,0.068304956,0.068304956,0.068304956,0.09920543,0.004507309,1
2024,0.069594921,0.000458781,0.363383535,0.060788935,0.181211931,0.003938215,0.070066832,0.070066832,0.070066832,0.10455448,0.005868707,1
2026,0.070216631,0.000216389,0.333154792,0.084758445,0.176658873,0.003869631,0.072375907,0.072375907,0.072375907,0.108137535,0.005859983,1
2028,0.068674955,3.2746E-05,0.308929577,0.112427006,0.17504638,0.003769067,0.070930632,0.070930632,0.070930632,0.11245271,0.005875663,1
2030,0.068392787,0.000114303,0.295597671,0.151248973,0.167305677,0.003661873,0.064328684,0.064328684,0.064328684,0.114908232,0.005784432,1
2032,0.066515504,0,0.301891298,0.166166915,0.156504205,0.003532795,0.059199834,0.059199834,0.059199834,0.121948503,0.005841278,1
2034,0.065473875,0,0.313557045,0.16981495,0.148143096,0.00332213,0.056490014,0.056490014,0.056490014,0.124473037,0.005745825,1
2036,0.063856844,0,0.310875391,0.177471009,0.139264171,0.00312939,0.055436938,0.055436938,0.055436938,0.13345437,0.005638012,1
2038,0.062900583,0,0.307768686,0.197242946,0.131391852,0.002704192,0.050374058,0.050374058,0.050374058,0.141345585,0.005523982,1
2040,0.061403393,0,0.302513082,0.205959196,0.127385549,0.002171878,0.047108922,0.047108922,0.047108922,0.153735281,0.005504855,1
2042,0.060257114,0,0.296749248,0.235411299,0.122910486,0.001860406,0.043172157,0.043172157,0.043172157,0.147839084,0.005455893,1
2044,0.059743085,0,0.29454164,0.248016314,0.111119099,0.0016706,0.038260138,0.038260138,0.038260138,0.16492864,0.005200206,1
2046,0.058187109,0,0.290468183,0.268498607,0.093717853,0.001518871,0.033941448,0.033941448,0.033941448,0.180629254,0.00515578,1
2048,0.056645438,0,0.294245101,0.280981065,0.077340092,0.001427615,0.028628549,0.028628549,0.028628549,0.198368794,0.005106248,1
2050,0.055464647,0,0.293505496,0.295174089,0.072035182,0.00134283,0.023054002,0.023054002,0.023054002,0.208262672,0.005053079,1
