states,pet,hdpe,other,iron,film,paper,cardboard,glass,aluminum
AL,0.018664735,0.021519935,0.02421371,0.056894148,0.001412466,0.319499906,0.528787075,0,0.029008025
AR,0.035806398,0.057744205,0,0.08740362,0.033844835,0.19115126,0.377174276,0.180534461,0.036340944
AZ,0.034290034,0.045977276,0,0.031202109,0.009278681,0.601224305,0.142224734,0.113629645,0.022173217
CA,0.011399931,0.015888317,0.001910158,0.039003542,0.009471625,0.325417863,0.440557304,0.144619897,0.011731363
CO,0.029833234,0.031041584,0.000733365,0.045867369,0.012445055,0.367984305,0.253240659,0.241716987,0.017137443
CT,0.023855852,0.043563754,0.003457005,0.038145968,0.001420469,0.462140883,0.263835383,0.161162951,0.002417736
FL,0.041767423,0.049197442,0.003871768,0.031725401,0.019675888,0.461745587,0.152461096,0.224027056,0.015528337
GA,0.047477154,0.057163182,0.001833656,0.071667091,0.024661281,0.409451142,0.139832761,0.211658698,0.036255035
HI,0.012456869,0.01872213,0,0.095270376,0.089110181,0.295272499,0.278239056,0.160454574,0.050474314
IA,0.019688443,0.024845551,0.001201597,0.014253748,0.006246577,0.529875729,0.291884993,0.106528496,0.005474865
ID,0.06059076,0.078767988,0.048472608,0.273516789,0,0,0,0,0.538651856
IL,0.040341109,0.048930487,0.000739395,0.054022925,0.004832029,0.436134854,0.101097783,0.281269452,0.032631965
IN,0.028039355,0.056453243,0.000193121,0.033472929,0.011076194,0.347061547,0.403135676,0.109254098,0.011313838
KS,0.01123323,0.014892602,0,0.027824328,0.0095076,0.720081353,0.159400084,0.045037892,0.012022912
KY,0.014540603,0.01821967,0,0.104538927,0.006152069,0.270690133,0.192843428,0.359936089,0.03307908
LA,0.020361094,0.022126923,0,0.040469927,0,0.637248189,0.164654582,0.10140906,0.013730225
MA,0.029748098,0.046904786,0.002809244,0.036624537,0.018587404,0.460743254,0.200240135,0.192052979,0.012289563
MD,0.023169034,0.043106008,0.002356097,0.046250161,0.01038666,0.401722208,0.109041721,0.342167054,0.021801057
ME,0.016213276,0.019863182,0.003477345,0.03308576,0.017959484,0.489519639,0.294486512,0.120114402,0.005280398
MI,0.170782684,0.031213452,0.001480165,0.031524516,0.019460096,0.373481252,0.256412219,0.106509948,0.009135669
MN,0.024994926,0.027202492,0.001488133,0.045615186,0.008993318,0.352612974,0.338660184,0.180734506,0.019698281
MO,0.026621324,0.064791627,0.012550686,0.032868141,0.016620526,0.363841328,0.23601802,0.232740109,0.013948238
MS,0.031979138,0.027175405,0,0.015509196,0.036920121,0.188718089,0.686247598,0,0.013450453
MT,0.01832422,0.013152061,0,0.015516477,0.025417467,0.295551943,0.620659081,0,0.01137875
NC,0.034929698,0.031710116,0.001642609,0.042885516,0.01320015,0.377154662,0.264946292,0.215611779,0.017919178
ND,0.006078439,0.004065198,0,0.005575129,0.004258779,0.454644005,0.491424368,0.030392195,0.003561888
NE,0.020402277,0.025894138,0,0.020139483,0.007455777,0.348881449,0.529413357,0.041296597,0.006516922
NH,0.014500092,0.030746377,0,0.031273431,0,0.384873141,0.251978384,0.174989166,0.11163941
NJ,0.024799262,0.041451046,0.000560792,0.095158306,0.008077637,0.355679076,0.176167649,0.251669602,0.04643663
NM,0.040789875,0.052073803,0.009072888,0.038045136,0.017459591,0.669945105,0.160338518,0,0.012275084
NV,0.006477177,0.003712528,0,0.028159922,0.001658789,0.359378208,0.371856313,0.224296742,0.00446032
NY,0.022170721,0.021591927,0.001480596,0.026314555,0.008670675,0.404951407,0.404100863,0.105071662,0.005647594
OH,0.081245166,0.040615266,0.000361085,0.076853241,0.015782423,0.435220944,0.184355978,0.125419112,0.040146785
OK,0.025685306,0.026799758,0,0.030470205,0.001933024,0.510692274,0.244704024,0.143262658,0.016452751
OR,0.0225825,0.021641369,0.000889523,0.052817906,0.015065587,0.495981243,0.308845707,0.064198602,0.017977563
PA,0.016289344,0.023102173,0.001798542,0.095219649,0.014147345,0.26150439,0.276369407,0.272141547,0.039427603
RI,0.040432814,0.040454897,0,0.03031909,0.019609142,0.485105443,0.171822899,0.20214199,0.010113724
SC,0.015402115,0.020231499,0,0.036360824,0.006231308,0.326169114,0.525594632,0.062329899,0.007680611
SD,0.038095323,0.045950899,0,0.124682381,0.016234656,0.312784498,0.379047386,0.053602023,0.029602834
TN,0.031242979,0.040082203,0,0.027230115,0.022915158,0.47728054,0.252775596,0.132795806,0.015677603
TX,0.033761144,0.039721846,0.001727423,0.027979558,0.012006842,0.377600045,0.324656189,0.170331751,0.012215202
UT,0.016538868,0.027321793,0,0.049221604,0.020835203,0.507149313,0.342039791,0.028451433,0.008441995
VA,0.039455535,0.065351117,0.001606415,0.048995911,0.005196308,0.383094127,0.19972666,0.23505394,0.021519986
VT,0.00804118,0.016685208,0,0.030701985,0.011319381,0.33595765,0.416767286,0.165132399,0.015394912
WA,0.014908603,0.024956627,0.001723388,0.022809444,0.012006923,0.565342867,0.21249686,0.135685848,0.01006944
WI,0.026869362,0.032879214,0.000126905,0.032934352,0.00681082,0.482808008,0.241643366,0.16458525,0.011342722
WV,0.056090397,0.051725545,0,0.121359223,0,0.316309048,0.356245411,0.021212368,0.077058008
