year,vmat_inflow,cmat_inflow,wmat_outflow,cmat_outflow,inflow_circularity,outflow_circularity,avg_inflow_outflow_circularity,scenario
2020,5615.230789357196,1722.2478231220973,5020.455851444303,2194.74413412525,0.23471929719740053,0.30418340981743436,0.26945135350741745,chemical recycling
2021,5753.216808391582,1745.7213417245803,5167.335421374667,2233.3745638238765,0.23279580478971387,0.3017784196773872,0.26728711223355056,chemical recycling
2022,5917.12712779818,1775.5904457602505,5308.744157958769,2277.475826868763,0.23081445910133855,0.30021220468477355,0.26551333189305604,chemical recycling
2023,6074.641861771589,1803.7088176676066,5451.650484373859,2320.079500082662,0.22894497732563485,0.2985280632140883,0.2637365202698616,chemical recycling
2024,6233.907327873313,1834.3710948074834,5592.380734537418,2364.859249548093,0.2273559486557714,0.29719591897163017,0.2622759338137008,chemical recycling
2025,6390.628888742516,1856.2611938662362,5740.614773817218,2402.135209897282,0.22508620525702971,0.2950029430722486,0.26004457416463916,chemical recycling
2026,6556.122627692844,1884.0014116132302,5883.8445762318315,2444.415407111658,0.22321963549816834,0.2935085374376504,0.25836408646790937,chemical recycling
2027,6715.766247954871,1914.5956081054812,6024.633063108951,2489.1369198634693,0.22184418684148538,0.2923660052881103,0.2571050960647978,chemical recycling
2028,6872.5558894717005,1940.3916686436526,6169.525912667491,2529.7540699339193,0.22017510666528975,0.2908003966987424,0.2554877516820161,chemical recycling
2029,7034.143666942609,1977.8712424635019,6304.424594415966,2580.3653878144332,0.2194704805025498,0.2904250289511818,0.2549477547268658,chemical recycling
2030,7184.04793113184,2006.7713879446924,6446.66218565714,2623.637796202249,0.21834521148505476,0.2892559012876672,0.253800556386361,chemical recycling
2031,7342.53162365973,2039.1843873972439,6585.894854386085,2669.915127102293,0.21735729209815452,0.28845829078623303,0.2529077914421938,chemical recycling
2032,7497.502462216258,2067.919230778074,6728.2738463250225,2713.046134792345,0.21618693844857964,0.2873587740081297,0.25177285622835466,chemical recycling
2033,7656.151456844449,2105.5017763230167,6863.084445261754,2763.7455354845442,0.2156911053927924,0.2870878099033688,0.2513894576480806,chemical recycling
2034,7805.952749308587,2139.679989312341,7000.807136650684,2811.5328437246035,0.21513764338024724,0.28653031278448143,0.25083397808236435,chemical recycling
2035,7959.158374328343,2167.8223648344024,7143.6929301877235,2854.1570498165534,0.2140640355373707,0.28547708312535935,0.24977055933136502,chemical recycling
2036,8118.399836815362,2202.4413129917652,7281.038613298152,2902.3213663351144,0.21339746257337985,0.2850062623868508,0.24920186248011533,chemical recycling
2037,8271.164726667079,2232.542487125799,7422.248835321538,2946.621143940718,0.21254805010122046,0.28417958271575994,0.2483638164084902,chemical recycling
2038,8428.447390542126,2264.0854079050146,7562.225776090891,2992.1542028003546,0.2117445371066642,0.2834988136474773,0.24762167537707075,chemical recycling
2039,8584.28830777193,2305.4143997319707,7693.831635842487,3046.0583426776884,0.21170590801742922,0.28362100065920764,0.24766345433831843,chemical recycling
2040,8730.343153954054,2338.596726278752,7832.406216212633,3092.993761936533,0.2112755829901179,0.2831011924618348,0.24718838772597634,chemical recycling
2041,8884.544665416353,2364.168984428243,7977.49050806895,3133.4194697092043,0.21017238575193928,0.28201285727056113,0.24609262151125022,chemical recycling
2042,9046.356245275943,2403.023588022748,8111.212978691505,3185.2069987156387,0.20988242359065928,0.28196605695309285,0.24592424027187607,chemical recycling
2043,9194.885479690518,2439.0816416333937,8247.32763984392,3234.6023371922133,0.20965175646429307,0.28171242497223203,0.24568209071826255,chemical recycling
2044,9346.211264088952,2471.4451130861994,8386.602675207698,3280.8373014574254,0.2091315768716711,0.2811959871247762,0.24516378199822367,chemical recycling
2045,9501.231630645168,2507.851949476003,8522.41898486765,3330.530991426403,0.20882958576683489,0.28098751771394276,0.24490855174038884,chemical recycling
2046,9652.208632264445,2547.806625821276,8655.200444733475,3383.259531189567,0.20883634749003152,0.28103756941968466,0.24493695845485808,chemical recycling
2047,9799.637793928252,2584.977903792719,8790.362845140015,3433.607130412018,0.20872491863178355,0.2808913255905602,0.24480812211117187,chemical recycling
2048,9949.850353965889,2623.1031111096045,8924.709246991371,3484.7707281896496,0.20863062274078448,0.2808152102392039,0.2447229164899942,chemical recycling
2049,10099.108984658084,2662.9808477403335,9057.556521685312,3537.433453124699,0.20866338371792137,0.28086036274737564,0.2447618732326485,chemical recycling
