year,vpet_manuf,total_disposal,total_landfill,div_circularity,scenario
2020,5615.230789357196,7215.199985569553,5020.455851444303,0.304,chemical recycling
2021,5753.216808391582,7400.709985198543,5167.335421374667,0.302,chemical recycling
2022,5917.12712779818,7586.219984827532,5308.744157958769,0.3,chemical recycling
2023,6074.641861771589,7771.729984456521,5451.650484373859,0.299,chemical recycling
2024,6233.907327873313,7957.2399840855105,5592.380734537418,0.297,chemical recycling
2025,6390.628888742516,8142.7499837145,5740.614773817218,0.295,chemical recycling
2026,6556.122627692844,8328.259983343489,5883.8445762318315,0.294,chemical recycling
2027,6715.766247954871,8513.76998297242,6024.633063108951,0.292,chemical recycling
2028,6872.5558894717005,8699.279982601409,6169.525912667491,0.291,chemical recycling
2029,7034.143666942609,8884.789982230399,6304.424594415966,0.29,chemical recycling
2030,7184.04793113184,9070.299981859389,6446.66218565714,0.289,chemical recycling
2031,7342.53162365973,9255.809981488377,6585.894854386085,0.288,chemical recycling
2032,7497.502462216258,9441.319981117367,6728.2738463250225,0.287,chemical recycling
2033,7656.151456844449,9626.829980746297,6863.084445261754,0.287,chemical recycling
2034,7805.952749308587,9812.339980375287,7000.807136650684,0.287,chemical recycling
2035,7959.158374328343,9997.849980004277,7143.6929301877235,0.285,chemical recycling
2036,8118.399836815362,10183.359979633266,7281.038613298152,0.285,chemical recycling
2037,8271.164726667079,10368.869979262256,7422.248835321538,0.284,chemical recycling
2038,8428.447390542126,10554.379978891244,7562.225776090891,0.283,chemical recycling
2039,8584.28830777193,10739.889978520176,7693.831635842487,0.284,chemical recycling
2040,8730.343153954054,10925.399978149166,7832.406216212633,0.283,chemical recycling
2041,8884.544665416353,11110.909977778154,7977.49050806895,0.282,chemical recycling
2042,9046.356245275943,11296.419977407144,8111.212978691505,0.282,chemical recycling
2043,9194.885479690518,11481.929977036134,8247.32763984392,0.282,chemical recycling
2044,9346.211264088952,11667.439976665122,8386.602675207698,0.281,chemical recycling
2045,9501.231630645168,11852.949976294054,8522.41898486765,0.281,chemical recycling
2046,9652.208632264445,12038.459975923042,8655.200444733475,0.281,chemical recycling
2047,9799.637793928252,12223.969975552032,8790.362845140015,0.281,chemical recycling
2048,9949.850353965889,12409.479975181022,8924.709246991371,0.281,chemical recycling
2049,10099.108984658084,12594.98997481001,9057.556521685312,0.281,chemical recycling
