states,uri
Arkansas,https://www.geonames.org/4099753
Georgia,https://www.geonames.org/4197000
Kansas,https://www.geonames.org/4273857
Oklahoma,https://www.geonames.org/4544379
Mississippi,https://www.geonames.org/4436296
North Carolina,https://www.geonames.org/4482348
Louisiana,https://www.geonames.org/4331987
New Mexico,https://www.geonames.org/5481136
Montana,https://www.geonames.org/5667009
Oregon,https://www.geonames.org/5744337
North Dakota,https://www.geonames.org/5690763
Idaho,https://www.geonames.org/5596512
Hawaii,https://www.geonames.org/5855797
Washington,https://www.geonames.org/5815135
South Dakota,https://www.geonames.org/5769223
Utah,https://www.geonames.org/5549030
Arizona,https://www.geonames.org/5551752
Alaska,https://www.geonames.org/5879092
Wyoming,https://www.geonames.org/5843591
Nevada,https://www.geonames.org/5509151
Colorado,https://www.geonames.org/5417618
Wisconsin,https://www.geonames.org/5279468
California,https://www.geonames.org/5332921
Nebraska,https://www.geonames.org/5073708
Illinois,https://www.geonames.org/4896861
West Virginia,https://www.geonames.org/4826850
Maine,https://www.geonames.org/4971068
Iowa,https://www.geonames.org/4862182
Missouri,https://www.geonames.org/4398678
Alabama,https://www.geonames.org/4829764
New York,https://www.geonames.org/5128638
Virginia,https://www.geonames.org/6254928
South Carolina,https://www.geonames.org/4597040
Maryland,https://www.geonames.org/4361885
Tennessee,https://www.geonames.org/4662168
Vermont,https://www.geonames.org/5242283
Ohio,https://www.geonames.org/5165418
Indiana,https://www.geonames.org/4921868
Massachusetts,https://www.geonames.org/6254926
Pennsylvania,https://www.geonames.org/6254927
Delaware,https://www.geonames.org/4142224
District of Columbia,https://www.geonames.org/4138106
Rhode Island,https://www.geonames.org/5224323
New Jersey,https://www.geonames.org/5101760
Connecticut,https://www.geonames.org/4831725
Florida,https://www.geonames.org/4155751
Texas,https://www.geonames.org/4736286
New Hampshire,https://www.geonames.org/5090174
Michigan,https://www.geonames.org/5001836
Minnesota,https://www.geonames.org/5037779
Kentucky,https://www.geonames.org/6254925
Wake Island,https://www.geonames.org/4041685
Baker Island,https://www.geonames.org/5854907
Howland Island,https://www.geonames.org/5854922
Bunker's Shoal,https://www.geonames.org/5854926
Johnston Atoll,https://www.geonames.org/5854929
Kingman Reef,https://www.geonames.org/5854936
Midway Islands,https://www.geonames.org/5854943
Palmyra Atoll,https://www.geonames.org/5854952
Navassa Island,https://www.geonames.org/4743755
